timestamp,rtt_ms_mean,rtt_ms_min,rtt_ms_max,count
2026-05-12T11:43:55.733470,3277.907,1181.930,5682.650,10
2026-05-12T11:43:56.733470,1225.512,39.400,1820.060,5
2026-05-12T11:43:57.733470,3767.297,33.170,16590.280,6
2026-05-12T11:43:58.733470,15849.290,15709.690,15988.890,2
2026-05-12T11:43:59.733470,15289.060,15217.100,15327.310,3
2026-05-12T11:44:00.733470,14498.252,14304.680,14683.710,4
2026-05-12T11:44:13.733470,1524.370,1524.370,1524.370,1
2026-05-12T11:44:14.733470,1427.382,1359.280,1504.290,6
2026-05-12T11:44:15.733470,1424.370,1365.290,1464.400,7
2026-05-12T11:44:16.733470,1654.573,1523.120,1834.800,7
2026-05-12T11:44:17.733470,2151.908,1946.540,2296.310,6
2026-05-12T11:44:18.733470,1312.611,33.080,2767.970,8
2026-05-12T11:44:19.733470,9172.900,2562.550,11716.270,4
2026-05-12T11:44:20.733470,10737.897,10268.800,11093.840,4
2026-05-12T11:44:21.733470,9908.797,9755.370,10165.550,3
2026-05-12T11:44:30.733470,980.143,793.710,1084.440,3
2026-05-12T11:44:31.733470,937.357,740.600,1204.600,11
2026-05-12T11:44:32.733470,2076.205,640.550,6478.690,10
2026-05-12T11:44:33.733470,5491.823,3673.750,6576.230,8
2026-05-12T11:44:36.733470,713.070,713.070,713.070,1
2026-05-12T11:44:37.733470,1872.230,267.800,3468.280,4
2026-05-12T11:44:38.733470,2875.990,2875.990,2875.990,1
2026-05-12T11:44:39.733470,1126.810,200.320,1931.740,7
2026-05-12T11:44:40.733470,1174.051,229.610,1772.450,8
2026-05-12T11:44:41.733470,1069.154,197.840,1769.070,9
2026-05-12T11:44:42.733470,921.531,188.970,1701.370,10
2026-05-12T11:44:43.733470,979.976,207.750,1553.150,10
2026-05-12T11:44:44.733470,1034.691,551.460,1476.130,10
2026-05-12T11:44:45.733470,1050.590,571.590,1515.830,8
2026-05-12T11:44:46.733470,964.354,578.500,1453.930,10
2026-05-12T11:44:47.733470,1095.593,703.870,1490.460,10
